"Name","Id","Running Processes","PSComputerName","RunspaceId","PSShowComputerName"
"svchost","2800","00:50:00.9572487","WIN-B7VK0P6ACHO","d8b77fa5-25e1-4997-8376-e214b740eb68","True"
"Microsoft.ActiveDirectory.WebServices","1476","00:49:08.2629719","WIN-B7VK0P6ACHO","d8b77fa5-25e1-4997-8376-e214b740eb68","True"
"msdtc","2724","00:47:27.0209324","WIN-B7VK0P6ACHO","d8b77fa5-25e1-4997-8376-e214b740eb68","True"
"LogonUI","964","00:50:19.6934274","WIN-B7VK0P6ACHO","d8b77fa5-25e1-4997-8376-e214b740eb68","True"
"lsass","600","00:50:26.5123664","WIN-B7VK0P6ACHO","d8b77fa5-25e1-4997-8376-e214b740eb68","True"
"MsMpEng","2756","00:50:01.0283215","WIN-B7VK0P6ACHO","d8b77fa5-25e1-4997-8376-e214b740eb68","True"
"services","580","00:50:26.8047015","WIN-B7VK0P6ACHO","d8b77fa5-25e1-4997-8376-e214b740eb68","True"
"smss","256","00:50:37.3739971","WIN-B7VK0P6ACHO","d8b77fa5-25e1-4997-8376-e214b740eb68","True"
"NisSrv","2864","00:10:28.7638784","WIN-B7VK0P6ACHO","d8b77fa5-25e1-4997-8376-e214b740eb68","True"
"Registry","88","00:50:43.4262143","WIN-B7VK0P6ACHO","d8b77fa5-25e1-4997-8376-e214b740eb68","True"
"dfsrs","2780","00:50:00.9555205","WIN-B7VK0P6ACHO","d8b77fa5-25e1-4997-8376-e214b740eb68","True"
"dfssvc","3052","00:50:00.0782396","WIN-B7VK0P6ACHO","d8b77fa5-25e1-4997-8376-e214b740eb68","True"
"csrss","372","00:50:28.7179831","WIN-B7VK0P6ACHO","d8b77fa5-25e1-4997-8376-e214b740eb68","True"
"csrss","448","00:50:27.6874678","WIN-B7VK0P6ACHO","d8b77fa5-25e1-4997-8376-e214b740eb68","True"
"dns","2840","00:50:00.9150157","WIN-B7VK0P6ACHO","d8b77fa5-25e1-4997-8376-e214b740eb68","True"
